,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
501,gorizia,56,BR,1554359016,93,-7.01,-42.13,295.149,2.97
502,gorizia,8,CN,1554359017,57,32.27,111.65,294.049,1.32
503,gorizia,0,JP,1554359017,92,37.02,137.87,283.549,11.12
504,gorizia,8,LK,1554358795,58,7.35,80.68,304.149,1.47
505,gorizia,48,TR,1554359017,99,38.36,31.42,277.899,1.52
506,gorizia,1,US,1554358693,70,40.83,-115.76,280.15,1.5
507,gorizia,0,LK,1554358675,65,7.42,81.82,304.949,2.12
508,gorizia,80,RU,1554358812,68,61.28,108.01,273.749,3.12
509,gorizia,1,US,1554358646,61,47.42,-120.31,285.15,5.1
510,gorizia,0,AR,1554359008,93,-34.46,-58.91,293.15,3.6
511,gorizia,40,FR,1554359013,93,47.55,-2.56,280.93,1.5
512,gorizia,0,NO,1554358864,80,63.83,10.7,277.59,2.6
513,gorizia,0,CA,1554358647,88,47.38,-61.86,273.249,20.97
514,gorizia,1,CA,1554354000,80,53.35,-110.85,272.15,4.6
515,gorizia,0,PT,1554358956,81,37.31,-8.8,280.37,0.89
516,gorizia,68,GA,1554359017,100,-1.57,9.26,299.649,4.37
517,gorizia,80,MG,1554359022,98,-22.82,47.32,296.699,1.52
518,gorizia,24,ID,1554359022,100,-0.87,134.08,300.349,5.97
519,gorizia,24,ZW,1554359022,85,-21.05,31.67,295.849,2.02
520,gorizia,68,RU,1554359023,61,52.47,96.11,274.949,1.32
521,gorizia,1,US,1554358602,75,45.52,-122.67,282.59,0.97
522,gorizia,90,US,1554358821,100,29.21,-99.79,294.15,2.6
523,gorizia,40,TR,1554357000,70,40.33,36.55,279.26,3.1
524,gorizia,40,RU,1554355800,24,50.29,127.53,281.15,4.0
525,gorizia,0,RU,1554359025,84,69.3,139.9,270.549,2.12
526,gorizia,40,NO,1554357000,80,70.86,29.09,272.15,6.7
527,gorizia,75,JP,1554358805,35,36.66,137.31,289.82,5.7
528,gorizia,0,FR,1554358942,93,48.95,4.24,277.15,4.1
529,gorizia,0,AO,1554359029,39,-17.07,15.73,296.199,4.92
530,gorizia,64,RU,1554359029,33,42.9,133.91,282.949,1.27
531,gorizia,12,MZ,1554358663,100,-16.23,39.91,299.849,3.02
532,gorizia,12,IS,1554358778,100,64.25,-15.21,273.849,0.92
